    row     |   output   |   input   
------------|------------|------------
     1      |            | <empty>
------------|------------|------------
     2      |    wow     | "wow"
------------|------------|------------
     3      |  quot"es   | "quot"es"
------------|------------|------------
     4      |wow this is>| "wow this is a long string"
------------|------------|------------
     5      |            | <empty>
------------|------------|------------
     6      |            | <empty>
------------|------------|------------
     7      |   105.12   | 105.12
------------|------------|------------
     8      |3.141592653>| 3.14159265359
------------|------------|------------
     9      |            | <empty>
------------|------------|------------
     10     |            | <empty>
------------|------------|------------
     11     | 01/01/1990 | 01/01/1990
------------|------------|------------
     12     | 12/25/2014 | 12/25/2014
------------|------------|------------
